Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Nurses; Nursing; Students",TC.212,25,0.16,137.2,1.19,68.273
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,25,0.13,-89.2,0.38,86.613
"Fixed Point; Fixed Point Theorem; Metric Space",TC.301,25,0.18,-75.6,0.69,53.614
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,25,0.21,-30.6,0.79,75.837
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,25,0.16,187.8,0.69,88.688
"Vibration Control; Magnetorheological Fluids; Automobile Suspensions",TC.652,25,0.3,-55.2,0.61,59.705
"Silicon Carbide; Sintering; Ceramic Materials",TC.121,25,0.14,-71.2,0.64,88.086
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,25,0.11,1.3,0.43,94.846
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,24,0.12,-72.2,2.1,82.195
"Rheumatoid Arthritis; Psoriasis; Patients",TC.130,24,0.11,909.3,0.84,91.165
"Hydrodynamics; Boundary Element Method; Functions",TC.1058,24,0.44,-64.2,0.98,54.819
"Hair; Alopecia; Hair Follicle",TC.824,24,0.44,-61.1,1.0,57.162
"Sarcopenia; Patients; Aged",TC.782,24,0.25,-69.1,3.83,82.129
"Atrial Fibrillation; Patients; Catheter Ablation",TC.25,24,0.06,-38.8,1.06,94.913
"Apoptosis; Cells; Neoplasms",TC.421,24,0.25,37.8,1.37,84.806
"Wrist; Hand; Tendons",TC.566,24,0.33,-86.3,0.33,27.711
"HIV; HIV Infections; HIV-1",TC.17,23,0.06,48.6,0.84,96.386
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,23,0.12,40.5,3.13,86.011
"Diamonds; Diamond Films; Carbon Films",TC.352,23,0.27,-83.3,0.73,74.029
"Mathematics; Students; Teacher",TC.391,23,0.19,-12.0,0.79,65.529
"Drosophila; White Spot Syndrome Virus 1; Hemocytes",TC.1134,23,0.63,76.3,1.64,55.689
"Serotonin; Depression; Serotonin Plasma Membrane Transport Proteins",TC.357,23,0.36,-18.1,0.53,69.545
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,23,0.13,-50.0,0.94,83.802
"Pharmaceutical Preparations; Nanoparticles; Tablets",TC.82,23,0.08,22.0,2.06,97.39
"Industry; Information Systems; Research",TC.254,22,0.14,-57.3,1.12,76.238
"Models; Social Networking (Online); Algorithms",TC.358,22,0.09,-26.9,0.43,89.023
"Photonic Crystals; Photonics; Waveguides",TC.203,22,0.11,-71.2,0.42,86.345
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,22,0.15,374.3,0.96,76.841
"Membranes; Desalination; Ultrafiltration",TC.223,22,0.11,-34.1,0.55,97.925
"Language; Reading; Semantics",TC.88,22,0.09,-21.1,0.62,89.491
"Asphalt; Pavements; Asphalt Pavements",TC.389,22,0.15,-76.5,0.58,76.774
"Superconductors (Materials); Superconducting Materials; Superconductivity",TC.50,22,0.12,64.5,0.82,89.29
"Software Engineering; Models; Software Design",TC.49,22,0.06,23.6,0.08,90.964
"Heart; Acoustic Waves; Cardiology",TC.1455,22,1.04,-53.1,0.7,13.521
"Radar; Ultra-Wideband (UWB); Microwaves",TC.1084,22,0.38,-53.9,1.63,38.688
"Propulsion; Communication; Liquid Metals",TC.1342,21,0.36,132.5,0.58,79.384
"Cellulose; Lignin; Cellulases",TC.119,21,0.08,-34.1,1.08,98.126
