Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Massachusetts"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Conflict Of Interest; Industry; Physicians",TC.942,11,0.23,65.5,0.92,40.228
"Lakes; Gold; Ore Deposits",TC.1083,11,0.39,-100.0,1.13,15.73
"Power Amplifiers; CMOS Integrated Circuits; Variable Frequency Oscillators",TC.122,11,0.05,-,1.83,73.762
"Wings; Elastomers; Micro Air Vehicle (MAV)",TC.1032,10,0.15,-,0.48,61.446
"Microfluidics; Fluidic Devices; Microchannels",TC.197,10,0.05,-100.0,0.6,95.917
"Leishmania; Visceral Leishmaniasis; Trypanosoma Cruzi",TC.261,10,0.09,-100.0,0.55,77.376
"Forest; Deforestation; Conservation",TC.663,10,0.11,-56.6,1.22,75.1
"Image Sensors; Infrared Imaging; Digital Cameras",TC.723,10,0.16,-14.6,1.97,24.431
"Child; Malnutrition; Food",TC.934,10,0.19,-70.7,1.12,55.489
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,10,0.05,-100.0,2.66,89.625
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,10,0.06,-,8.71,77.845
"Ticks; Lyme Disease; Borrelia Burgdorferi",TC.269,10,0.09,-100.0,0.62,75.368
