Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Polychlorinated Biphenyls; Organic Pollutants; Halogenated Diphenyl Ethers",TC.209,15587,1.1,94.311
"Drops; Hydrophobicity; Contact Angle",TC.374,15575,1.26,95.181
"Combustion; Combustors; Ignition",TC.256,15552,1.0,87.55
"Chronic Renal Insufficiency; Renal Dialysis; Dialysis",TC.221,15546,0.9,81.995
"Delirium; Anesthesia; Propofol",TC.190,15479,1.0,80.79
"Nurses; Nursing; Students",TC.212,15467,0.99,68.273
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,15456,1.0,82.798
"Disasters; Floods; Risks",TC.438,15397,1.1,83.467
"Algorithms; Computer Graphics; Surfaces",TC.228,15366,0.69,61.178
"Discharge; Plasma Applications; Plasma Jets",TC.184,15283,0.95,83.534
"Asteroids; Comets; Mars",TC.133,15197,0.99,86.747
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,15172,1.08,89.692
"Multiple Sclerosis; Patients; Neuromyelitis Optica",TC.304,15024,1.22,87.952
"Vehicles; Accident Prevention; Highway Accidents",TC.315,15002,0.8,73.695
"Lizards; Turtles; Frogs",TC.126,14985,0.89,76.506
"Rivers; Fish; Streams",TC.149,14983,0.98,82.53
"Design; Product Design; Product Development",TC.263,14970,0.88,69.478
"Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis",TC.276,14944,1.12,85.877
"Kalman Filters; Target Tracking; Algorithms",TC.333,14921,0.78,59.906
"Heart Diseases; Patients; Congenital Heart Defects",TC.266,14848,0.63,64.726
"Housing; Neighborhood; Gentrification",TC.281,14809,1.07,74.565
"Asphalt; Pavements; Asphalt Pavements",TC.389,14599,0.79,76.774
"Solid Oxide Fuel Cells (SOFC); Yttria Stabilized Zirconia; Perovskite",TC.316,14557,0.96,91.499
"Fossils; Pleistocene; Paleolithic",TC.127,14426,1.34,80.522
"Research; Meta-Analysis As Topic; Guidelines As Topic",TC.356,14422,1.35,78.581
"Squamous Cell Carcinoma; Head And Neck Neoplasms; Carcinoma",TC.264,14382,0.89,76.841
"Genome; Neoplasms; Genes",TC.436,14349,1.85,94.043
"Optical Tomography; Photoacoustic Effect; Tomography",TC.398,14347,1.06,80.455
