Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Delivery Of Health Care; Patients; Hospitals",TC.160,4,0.02,-7.2,0.37,86.078
"Agents; Game Theory; Models",TC.173,4,0.02,-,1.15,81.058
"Patients; Percutaneous Nephrostomy; Kidney Calculi",TC.249,4,0.03,6.0,0.48,61.379
"Galaxies; Stars; Planets",TC.1,4,0.01,-2.1,1.0,99.264
"Libraries; Metadata; Ontology",TC.877,4,0.07,-,0.54,24.498
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,4,0.02,-100.0,0.21,84.003
"Decay; Quarks; Neutrinos",TC.6,4,0.01,-,0.97,98.394
"Governance; Government; Public Services",TC.611,4,0.05,-100.0,0.0,54.685
"Gastrointestinal Stromal Tumors; Neoplasms; Hemorrhage",TC.528,4,0.05,-,0.46,47.59
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,4,0.01,-,1.06,90.361
"Colorectal Neoplasms; Rectal Neoplasms; Patients",TC.93,4,0.01,-,0.1,92.035
"Students; Medical Students; Education",TC.43,4,0.01,-,0.15,91.901
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,4,0.02,-,0.94,80.924
"Spinal Cord Injuries; Wheelchairs; Rehabilitation",TC.841,4,0.06,-,0.17,52.677
"Poverty; Inequality; Development",TC.1107,4,0.08,-100.0,0.34,31.66
"Heart Rate; Blood Pressure; Patients",TC.665,4,0.06,-,0.05,61.981
"Hybrid Vehicles; Fuel Economy; Electric Vehicles",TC.727,4,0.04,-,1.04,64.659
"Heart Failure; Patients; Brain Natriuretic Peptide",TC.300,4,0.03,-,1.31,84.739
"Ultrasonics; Elasticity Imaging Techniques; Ultrasonic Imaging",TC.428,4,0.03,-58.4,0.39,75.837
"Cholesterol; Lipids; Atherosclerosis",TC.79,4,0.02,-,0.96,94.444
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,4,0.02,-,1.75,83.333
"Compartment Syndromes; Rhabdomyolysis; Tourniquets",TC.1279,4,0.13,-100.0,0.56,10.776
"Candida; Infection; Candida Albicans",TC.115,4,0.02,-53.4,0.22,85.207
"Radio Frequency Identification (RFID); Technology; Internet",TC.872,4,0.05,-,0.24,62.316
"Calderón; Cervantes; Spanish",TC.1198,4,0.1,-,0.0,0.402
"Embedded Systems; Scheduling; Real Time Systems",TC.667,4,0.05,-100.0,0.51,44.244
